prod;author;date;review_format;stars;comments
Sapiens: A Brief History of Humankind;Andrew Terhune;September 28, 2018;Verified Purchase;1;"









  
  
    
  If you want to learn about the author's feelings and musings about modern society cloaked in the history of our species, this book is for you. If, however, you, as I did, want to learn something scientific about the progress of our species unspoiled by a political screed, search for something else. Rarely have I felt that I misspent money on a book. In this case, I did. Too bad because it might have been an interesting read. I could go on, but it's not worth more of my time.

  
"
Sapiens: A Brief History of Humankind;Evan Donald;August 25, 2018;Verified Purchase;1;"









  
  
    
  I bought the book based on high rating but was disappointed. The beginning part was ok but later I felt more and more not reading actual (scientific) facts but only the author's own opinions REPEATEDLY which were presented in a bad way. I tried to continue to finish the book but it was not an easy task. Anyway, not a good book for me,

  
"
Sapiens: A Brief History of Humankind;P. Daskaloff;October 23, 2018;Verified Purchase;1;"









  
  
    
  The book starts ok, with a useful compilation of recent scientific discoveries. Then Dr. Harari begins to introduce sensationalist claims, like: “A corporation is a myth,” then proposes evidence that fits his claim. A corporation is not a myth, it’s a legal entity created by humans to conduct business with other humans. If a corporation is a myth, then the constitution of USA, and any other set of laws must be a myth as well.Ho goes so far as to declare that America, or any other country is a myth! Come on… Tell this to a pack of wolves who call their territory Wolfland.For me, Harari is one of those authors who come up with sensationalist and outrageous claims in order to sell his book, and judging by the ratings, he largely succeeds. But so do fake news.So, Harari goes on to attempt to tear down just about every human institution of the last few thousand years as being fictional or ""imaginary"". Well, sure, they were all invented by humans. But invention is not fiction. Neither it is a myth.Starting with a conclusion and only proposing evidence that fits with said conclusion bored me and I stopped reading it about a quarter of the way through.I really gave it a try, but this book is one of the most pretentious and pompous books I've ever read.I love good clear authors. Harari is not one of them. Can hardly get through a paragraph of his without being irritated by his generalization without support, constant non-sequiters and presentation of opinion as fact. And when he feels he’s gone too far, he says “Most scientists agree.” Go check it out.

  
"
Sapiens: A Brief History of Humankind;TexasCyclistg;October 19, 2018;Verified Purchase;1;"









  
  
    
  Bill Gates, Barrack Obama, and Mark Zuckerberg all love this half baked postmodern, neo Heglian, neo Marxist, reductionist, animal rightist, hodge podge?  The author is smart and knows how to turn a phrase, but announces Truth from Olympus while dismissing others' world views as myths. Evidently the only thing he does not know about is the self referential paradox. Everyone but the author lives in a myth. He will tell us the real Story, as though his story is not a myth. One thing I am sure of, 100 years from now no one will remember this book was ever written.

  
"
Sapiens: A Brief History of Humankind;Robert Shuler;February 10, 2018;Verified Purchase;3;"









  
  
    
  Harari primarily presents an hypothesis as to how Homo sapiens who successfully migrated out of Africa circa 70 kya (thousand years ago) and thereafter, successfully dominating the planet, differed from earlier Homo sapiens who attempted out migration previously (e.g. around 130 kya) but were not successful.  Keep in mind that Homo neanderthals in Europe and Homo erectus in Asia had climate and environment adaptations that sapiens did not have and were separate species.  Harari claims (assumes) that the later sapiens differed from the earlier sapiens in only one way.  They had evolved the ability to form an ""inter-subjective reality,"" as opposed to objective reality (physical) or subjective reality (in only one person's mind).  They were able to tell stories and believe them, independent of physical reality.Everything from myth to religion to nations to moral codes to money are inter-subjective realities according to Harari.  They have force in the physical world as long as people believe them, and cease to exist the moment people no longer believe them.  This explains how people could cooperate in groups larger than 150, giving them a military and security advantage, and encouraging specialization which eventually gave them a technological advantage.Moreover, Harari claims (assumes) all these later sapiens were genetically identical, and that the variations in societies are purely cultural, i.e. inter-subjective realities.  He presents history as an erratic evolution toward global unity, which is essentially demanded by the nature of inter-subjective realities, requiring belief of all those in mutual frequent contact, but he doesn't say how.In fact, Harari presents only anecdotal evidence for his claim.  He presents no empirical studies regarding the flexibility of humans toward inter-subjective realities, and no mathematical models of its development, evolutionary advantage, or stability.  He describes the scientific method as an important development, and requires it to include both mathematical models and verification of them.  But he does not use either in his treatise.  Thus he presents an important and interesting hypothesis, but not in a scientific manner.  He makes not even suggestions as to how to further formulate or verify it as a scientific theory.  Perhaps he is trapped in the inter-subjective reality of history as liberal arts, not science.The term ""intersubjective"" does exist in the literature of psychology and philosophy, primarily as a synonym for ""agreement,"" but there is no agreement about its definition (Gillespie and Cornish 2009, Journal for Theory of Social Behavior) state:""The  concept  of  intersubjectivity  is  used  widely,  but  with  varying  meanings.  Broadly  speaking,  we  take  intersubjectivity  to  refer  to  the  variety  of  possible relations between people’s perspectives. If we take social life to be founded on interactions  then  intersubjectivity  should  be  a  core  concept  for  the  social  sciences  in  general  and  understanding  social  behaviour  in  particular.  Perhaps because  of  this  broad  relevancy  research  has  been  fragmented  and  at  least  six definitions are in circulation. Most simplistically, intersubjectivity has been usedto  refer  to  agreement  in  the  sense  of  having  a  shared  definition  of  an  object.""The biggest complaint I have about Harari is that he does not distinguish between his opinion and facts, nor explain the background of how he arrived at the theory of inter-subjectivity.  The study of the evolution of cooperation is a hot topic, with political scientists, biologists, mathematicians and even physicists all having theories, and much data collected and many math models developed.  It is apparent Harari is aware of this, but does not tell us how his theory fits in.  I can only conclude he finds his powers of popular persuasion greater than his powers of scientific persuasion and critical analysis, so he writes a long book instead of a focused research paper.By the way, you can find excellent video summaries and reviews of this book on the web, and even a ""summary"" for sale as an eBook.  I originally got interested from the video summary.Near the end Harari reports on happiness research.  In this section of the book he takes exception to his usual approach, giving us descriptions of studies and names of researchers so we can trace where these conclusions come from.  The book is worth reading for this section.Occasionally Harari gets facts wrong.  You won't realize this unless you have investigated the matter separately.  I noticed it because his description of the origin of the caste system in India was wrong, according to current research.Harari tries to present himself as outside modern factions (or inter-subjective realities), such as nature vs. nurture, liberalism vs. conservatism, etc.  But without conscious explication, he suffuses his book with the assumption that any modern human if taken from birth is equally at home in any of the current or historical inter-subjective realities.  He does not propose or even consider experiments to determine culture-vs-genetics.  So he proposes this important genetic ability evolved in a small population on a single continent between 130kya and 70kya, but that no differentiating evolution has occurred since then.The question of whether the degree or style of inter-subjectivity is as universal as he implies is important for several reasons.  Harari proposes the world is ""different"" since 1945, with no war between major powers, no more empires expanding by territorial acquisition.  He suggests some reasons for this (cost of nuclear war, for example) which are unverified.  His book was completed in 2014 before Russia claimed parts of Ukraine and China claimed the entire South China Sea.  If inter-subjective capacity is universal, then this situation is likely unstable.  People could quit believing it at any moment, and the world could return to any state that it has been in historically.  If inter-subjective capacity is not identical in everyone, then it might make a great deal of difference which cultures dominate, even if through historical accident.  See for example Boyd and Richerson 2009 Culture and the Evolution of Human Cooperation.So, it is a book full of powerful ideas, often with carefully balanced arguments on both sides, but beware of accepting the background assumptions without critical thinking, or you will just fall into the latest meme.

  
"
Sapiens: A Brief History of Humankind;DJ;September 1, 2018;Verified Purchase;1;"









  
  
    
  Didn't finish - what starts as interesting history turns quickly into a biased, hateful rant against humanity. Obviously there is room for critique in that regard but that's not why I bought it or what it is promoted as.

  
"
Sapiens: A Brief History of Humankind;P. Schuyler;December 19, 2017;Verified Purchase;5;"









  
  
    
  I don't do book reviews too often.  But this was definitely one of the most important books I've ever read.  For me it was a massive shift in perspective that cleared up a lot of confusion I had about history and our strange modern life.  The thesis is simple and profound; Q:  What makes Homo Sapiens so different from the rest of the animal kingdom, and why are we so dominant?  A:  Our ability to create and share our Fictions; ""the Inter-Subjective Realm.""  I had studied many different philosophies over the years but I had never heard of this phrase, the ""Inter-subjective Realm.""  And now, it is staring me in the face as obvious.  I've heard similar references about 'artificial worlds' or 'hyper-realities', but usually these things are characterized as a distraction or a kind of human malfunction (i.e. kids addiction to video games).  Harari demonstrates in a convincing way that it is our Fictions...and our ability to share them, that give us immense power in nature.  It is clearly this ability which sets us apart from the other animals.  Many mammals can flexibly cooperate in small numbers through intimate acquaintances (say up to the Dunbar number, think of Chimps and Wolves).  With this ability these small bands can adapt to changing group politics and to new environmental challenges.  On the opposite end of the spectrum, some species can cooperate in huge numbers through hard-wired instincts (i.e. think of ants, or migratory or co-evolutionary species).  Those species can do amazing things with their large numbers of individuals but they cannot adapt quickly to change as their behavior is 'hard-wired', only modified through eons of natural selection.  However us humans can do both; we can flexibly cooperate in small or unlimited numbers, and in unprecedented ways.  The mechanism behind this is our Fictions; which provide us the ability to communicate, simulate, plan, coordinate, and adapt in unlimited numbers.  It is our Fictions that allow us to exceed the creative and manpower limits of modest numbers.  Our Fictions are a kind of Software that we can use to rapidly adapt to the world around us.  We can march in huge armies for a united cause for a monarch, then turn around and have a revolution which overthrows the King who launched the movement.So what are these Fictions?  They are our Languages, our Gods, our Nations, our Corporations, and much more.  Money is a kind of shared Fiction that establishes trust.  Brands and Companies are fictional inventions, and so are religious or philosophical ideologies and idols.  Our most cherished rituals and beliefs that we assume to be 'true' are the most powerful of all our Fictions.  Fictions allow us to not only speak the same language, but to share the same customs, beliefs, and rituals.  They allow us to follow the same laws & customs, to share strategies, and even swap dreams.  So a devout Catholic can travel to Europe for the 1st time and meet another devout Catholic who is a stranger, yet instantly they can collaborate on an important project.  Muslims could do the same with each other, as could employees of Volkswagen, or fans of the New England Patriots who have never met.  Despite having no intimate acquaintance, they can meet for the 1st time and feel kinship.  They can collaborate via their titles, beliefs, rituals, and procedures.  Fictions allow us to specialize and to diversify in amazing ways.  A scientist who studies the water cycle, a hydrologist, a structural engineer, a builder and a politician can come together to create a dam (something beyond any single person's reach).  In this doing this, they can alter the course of major rivers, a capability which was formerly the exclusive domain of the Gods of Old.  We can even work together to build a ship that travels to the Moon, something WAY beyond the imagination of the ancients who wrote our 'Holy' books.Our Fictions are not only our means to achieve power in nature, they are also the embodiment of our power in the real world.  Indeed it is legal fictions like Gods and Nations and Companies...not individuals, that have the true power and influence in the real world.  Even when an individual appears powerful or famous...its not the physical person per se with whom the power resides.  In truth it is the 'Celebrity', the brand, or the LLC.  Even the author of Sapiens is not working right now to achieve a book sale on Amazon.  His likeness, his celebrity, his ideas and his copyright are doing the real work.  That's also how an Elvis who has been dead for 40 years can still sell $70 million worth of merchandise in 2017, and his Estate can buy property, hire employees and feed his decedents.  That's a pretty impressive feat for a (long since) dead guy!  With this understanding of Fictions in mind, suddenly this crazy world actually makes a bit of sense.  Seemly disparate things: bureaucracy, religions, Celebrity worship, LLC's, people's addiction to Facebook, the immersive quality of stories and movies, even Idealism itself...it's all related to our Fictions. Our technologies also feed this passion and ability for shared imaginings.  First with the invention of writing which allowed for accounting, bureaucracy, and the creation of laws, commandments, and legends.  Then came an extension of those abilities with photos and films, TV and movies, and more recently the internet and social media.  So what's to come?  I'd guess immersive environments, gamification, shared realities, and interactive collaboration.  But the real technology then and now has always been our ability to imagine and embody our ideas into shared Fictions.

  
"
Sapiens: A Brief History of Humankind;Tech Historian;January 1, 2018;Verified Purchase;3;"









  
  
    
  Any history of Homo Sapiens would be a colossal undertaking.  Unfortunately, this book isn't it.The good news:The book started off as a captivating discussion of the development and rise of our species. It reminded me that Homo Erectus spent a million years using stone tools but went no further. That Neanderthals disappeared in Europe when Homo Sapiens arrived. And at least for me, a fresh set of insights about the Agricultural Revolution - it was an accident, we can't go back, and if it hadn't happened we'd lack anything we call civilization.Some other provocative assertions were worth pondering. Humans are nothing more than animals with ideas. Ideas are lies we tell ourselves. And that humans unite when they shared delusions - whether it's religions, nationalism, or sports teams.  Also, our entire economic system - money, capitalism, et al, is another delusion that requires our faith in order to survive.The bad news:It's not a history - it's ""Pop History."" Superficial with lots of bold assertions without any corroborating evidence. With five minutes on Google you can discover that some of the most outlandish stories are false (i.e. the Apollo astronauts encounter with the Navajo Indians.)  If you thought Joseph Campbell's ""Hero With a Thousand Faces"" was based on real research you'll love this book. Much like Campbell Harari has given us an opinion piece disguised as a ""history of humankind"".The book can be generously called a set of personal meditations of history and human nature, but done with little research and even scanter evidence.  If it had been labeled such I might have approached the second half of the book differently.

  
"
Sapiens: A Brief History of Humankind;David O. Catron;September 15, 2018;Verified Purchase;1;"









  
  
    
  Hare to see how this book got such great reviews.  Very strange perspective, with a LOT of speculation.  Not at all a scientific treatise.

  
"
Sapiens: A Brief History of Humankind;Lewis M. Weinstein;November 10, 2018;Verified Purchase;1;"









  
  
    
  Tedious ... incoherent ... unproven assertions ... a never-ending sludge of what seemed to me to be summary paragraphs of one Wikipedia article after another. Occasionally, an interesting view or insight was presented, but these were never properly developed before the author was running off to another topic.

  
"
